Data_as_of,DCF_Region,DCF_Office,Demographic,Out_of_State,Month_in_Care,TOTAL_CIP,FOSTER_CARE,RELATIVE_CARE,SPECIAL_STUDY,THERAPEUTIC_FOSTER_CARE,PDC_SAFE_HOME,SHELTER,GROUP_HOME,RESIDENTIAL,DCF_HIGHMEADOWS,DCF_SOLNIT,DCF_CJTS,HOSPITAL,INDEPENDENT_LIVING
06/26/2014,Other,NULL,WHITE,N,07/01/2004,1,1,0,0,0,0,0,0,0,0,0,0,0,0
06/26/2014,Other,Aftercare,BLACK,N,07/01/2004,10,0,0,0,0,0,0,1,5,0,0,4,0,0
06/26/2014,Other,Aftercare,BLACK,Y,07/01/2004,3,0,0,0,0,0,0,0,3,0,0,0,0,0
06/26/2014,Other,Aftercare,HISPANIC,N,07/01/2004,13,0,0,0,0,0,0,0,6,0,0,7,0,0
06/26/2014,Other,Aftercare,WHITE,N,07/01/2004,5,0,0,0,0,0,0,0,2,0,0,3,0,0
06/26/2014,Other,Aftercare,WHITE,Y,07/01/2004,5,0,0,0,0,0,0,0,5,0,0,0,0,0
06/26/2014,Other,Gen'l Administration,BLACK,N,07/01/2004,5,0,0,0,0,0,0,0,4,0,0,1,0,0
06/26/2014,Other,Gen'l Administration,BLACK,Y,07/01/2004,2,0,0,0,0,0,0,0,2,0,0,0,0,0
06/26/2014,Other,Gen'l Administration,HISPANIC,N,07/01/2004,3,0,0,0,0,0,0,0,0,0,0,3,0,0
06/26/2014,Other,Gen'l Administration,HISPANIC,Y,07/01/2004,3,0,0,0,0,0,0,0,3,0,0,0,0,0
06/26/2014,Other,Gen'l Administration,OTHER,Y,07/01/2004,1,0,0,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Other,Gen'l Administration,WHITE,Y,07/01/2004,3,0,0,0,0,0,0,0,3,0,0,0,0,0
06/26/2014,Other,Gen'l Administration,WHITE,N,07/01/2004,5,1,0,0,0,0,0,0,3,0,0,1,0,0
06/26/2014,Other,Treatment Services,BLACK,N,07/01/2004,1,0,0,0,0,0,0,0,0,0,0,1,0,0
06/26/2014,Other,Unassigned_Office,BLACK,N,07/01/2004,46,2,1,0,0,0,0,1,38,0,0,4,0,0
06/26/2014,Other,Unassigned_Office,BLACK,Y,07/01/2004,7,0,0,0,0,0,0,1,6,0,0,0,0,0
06/26/2014,Other,Unassigned_Office,HISPANIC,N,07/01/2004,28,1,0,0,0,0,0,1,25,0,0,1,0,0
06/26/2014,Other,Unassigned_Office,HISPANIC,Y,07/01/2004,4,0,0,0,0,0,0,0,4,0,0,0,0,0
06/26/2014,Other,Unassigned_Office,OTHER,N,07/01/2004,8,0,0,0,0,0,0,0,8,0,0,0,0,0
06/26/2014,Other,Unassigned_Office,OTHER,Y,07/01/2004,1,0,0,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Other,Unassigned_Office,WHITE,N,07/01/2004,58,3,1,0,0,1,0,1,51,0,1,0,0,0
06/26/2014,Other,Unassigned_Office,WHITE,Y,07/01/2004,9,0,0,0,0,0,0,1,8,0,0,0,0,0
06/26/2014,Region 1,Bridgeport Office,BLACK,N,07/01/2004,248,110,51,3,29,3,6,11,24,2,2,1,1,5
06/26/2014,Region 1,Bridgeport Office,BLACK,Y,07/01/2004,28,1,7,0,3,0,0,0,17,0,0,0,0,0
06/26/2014,Region 1,Bridgeport Office,HISPANIC,N,07/01/2004,161,66,34,8,16,4,2,9,11,2,3,0,2,4
06/26/2014,Region 1,Bridgeport Office,HISPANIC,Y,07/01/2004,20,2,2,0,3,0,0,1,12,0,0,0,0,0
06/26/2014,Region 1,Bridgeport Office,OTHER,N,07/01/2004,31,12,9,0,2,0,0,5,1,0,2,0,0,0
06/26/2014,Region 1,Bridgeport Office,OTHER,Y,07/01/2004,7,4,0,0,0,0,0,0,3,0,0,0,0,0
06/26/2014,Region 1,Bridgeport Office,WHITE,N,07/01/2004,77,32,16,2,3,5,1,6,9,0,2,0,0,1
06/26/2014,Region 1,Bridgeport Office,WHITE,Y,07/01/2004,13,3,0,0,2,0,0,0,8,0,0,0,0,0
06/26/2014,Region 1,Norwalk Office,BLACK,N,07/01/2004,37,13,17,0,1,1,0,1,3,0,0,0,0,1
06/26/2014,Region 1,Norwalk Office,BLACK,Y,07/01/2004,6,1,1,0,0,0,0,0,4,0,0,0,0,0
06/26/2014,Region 1,Norwalk Office,HISPANIC,N,07/01/2004,10,2,3,2,1,0,0,0,1,0,1,0,0,0
06/26/2014,Region 1,Norwalk Office,HISPANIC,Y,07/01/2004,4,2,0,0,0,0,0,0,1,0,0,0,1,0
06/26/2014,Region 1,Norwalk Office,OTHER,N,07/01/2004,3,0,1,1,1,0,0,0,0,0,0,0,0,0
06/26/2014,Region 1,Norwalk Office,OTHER,Y,07/01/2004,2,1,0,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Region 1,Norwalk Office,WHITE,Y,07/01/2004,1,0,0,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Region 1,Norwalk Office,WHITE,N,07/01/2004,16,5,2,1,0,2,1,3,2,0,0,0,0,0
06/26/2014,Region 1,Stamford Office,BLACK,N,07/01/2004,25,7,3,0,2,3,1,3,5,1,0,0,0,0
06/26/2014,Region 1,Stamford Office,BLACK,Y,07/01/2004,6,1,0,0,3,0,0,0,2,0,0,0,0,0
06/26/2014,Region 1,Stamford Office,HISPANIC,N,07/01/2004,16,9,1,1,0,0,1,2,2,0,0,0,0,0
06/26/2014,Region 1,Stamford Office,HISPANIC,Y,07/01/2004,4,3,0,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Region 1,Stamford Office,OTHER,N,07/01/2004,1,0,0,0,1,0,0,0,0,0,0,0,0,0
06/26/2014,Region 1,Stamford Office,OTHER,Y,07/01/2004,1,0,0,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Region 1,Stamford Office,WHITE,N,07/01/2004,6,1,1,1,0,0,0,1,2,0,0,0,0,0
06/26/2014,Region 1,Stamford Office,WHITE,Y,07/01/2004,6,1,0,0,0,0,0,0,5,0,0,0,0,0
06/26/2014,Region 2,Milford Office,BLACK,N,07/01/2004,113,34,27,1,30,4,1,3,9,0,1,0,0,3
06/26/2014,Region 2,Milford Office,BLACK,Y,07/01/2004,23,2,0,0,2,0,0,0,19,0,0,0,0,0
06/26/2014,Region 2,Milford Office,HISPANIC,N,07/01/2004,45,21,7,1,6,3,1,0,6,0,0,0,0,0
06/26/2014,Region 2,Milford Office,HISPANIC,Y,07/01/2004,13,4,1,0,1,0,0,0,7,0,0,0,0,0
06/26/2014,Region 2,Milford Office,OTHER,Y,07/01/2004,1,0,0,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Region 2,Milford Office,OTHER,N,07/01/2004,9,4,3,0,2,0,0,0,0,0,0,0,0,0
06/26/2014,Region 2,Milford Office,WHITE,N,07/01/2004,112,39,26,2,15,1,2,10,14,0,3,0,0,0
06/26/2014,Region 2,Milford Office,WHITE,Y,07/01/2004,16,0,0,0,1,0,0,0,15,0,0,0,0,0
06/26/2014,Region 2,New Haven Office,BLACK,N,07/01/2004,354,122,70,11,68,20,5,13,25,6,2,2,0,10
06/26/2014,Region 2,New Haven Office,BLACK,Y,07/01/2004,41,10,6,0,2,0,0,0,23,0,0,0,0,0
06/26/2014,Region 2,New Haven Office,HISPANIC,N,07/01/2004,110,36,15,3,22,6,1,7,14,2,2,1,0,1
06/26/2014,Region 2,New Haven Office,HISPANIC,Y,07/01/2004,21,2,5,1,2,0,0,0,11,0,0,0,0,0
06/26/2014,Region 2,New Haven Office,OTHER,N,07/01/2004,27,10,4,1,5,1,0,0,5,0,1,0,0,0
06/26/2014,Region 2,New Haven Office,OTHER,Y,07/01/2004,2,1,1,0,0,0,0,0,0,0,0,0,0,0
06/26/2014,Region 2,New Haven Office,WHITE,N,07/01/2004,92,34,10,1,19,3,1,1,17,2,1,1,0,2
06/26/2014,Region 2,New Haven Office,WHITE,Y,07/01/2004,20,1,1,0,2,0,0,1,15,0,0,0,0,0
06/26/2014,Region 3,Middletown Office,BLACK,N,07/01/2004,36,9,10,4,2,0,0,2,6,1,0,0,0,2
06/26/2014,Region 3,Middletown Office,BLACK,Y,07/01/2004,5,0,0,0,0,0,0,2,3,0,0,0,0,0
06/26/2014,Region 3,Middletown Office,HISPANIC,Y,07/01/2004,4,0,1,0,0,0,0,0,3,0,0,0,0,0
06/26/2014,Region 3,Middletown Office,HISPANIC,N,07/01/2004,26,9,1,2,7,2,0,0,2,1,1,0,0,1
06/26/2014,Region 3,Middletown Office,OTHER,N,07/01/2004,8,4,1,0,2,0,0,0,1,0,0,0,0,0
06/26/2014,Region 3,Middletown Office,OTHER,Y,07/01/2004,1,0,0,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Region 3,Middletown Office,WHITE,N,07/01/2004,76,27,14,3,6,4,0,7,10,0,2,0,1,2
06/26/2014,Region 3,Middletown Office,WHITE,Y,07/01/2004,17,0,2,0,2,0,0,0,13,0,0,0,0,0
06/26/2014,Region 3,Norwich Office,BLACK,N,07/01/2004,103,59,17,4,5,4,2,5,6,0,0,0,0,1
06/26/2014,Region 3,Norwich Office,BLACK,Y,07/01/2004,9,3,1,0,1,0,0,0,4,0,0,0,0,0
06/26/2014,Region 3,Norwich Office,HISPANIC,N,07/01/2004,87,47,17,2,7,2,3,4,4,0,0,0,0,1
06/26/2014,Region 3,Norwich Office,HISPANIC,Y,07/01/2004,4,0,0,0,0,0,0,0,4,0,0,0,0,0
06/26/2014,Region 3,Norwich Office,OTHER,N,07/01/2004,76,38,24,2,2,4,1,1,2,0,0,0,0,2
06/26/2014,Region 3,Norwich Office,OTHER,Y,07/01/2004,5,3,0,0,0,0,0,0,2,0,0,0,0,0
06/26/2014,Region 3,Norwich Office,WHITE,N,07/01/2004,281,136,50,6,20,10,8,13,27,0,2,0,4,5
06/26/2014,Region 3,Norwich Office,WHITE,Y,07/01/2004,30,2,6,0,1,0,0,0,21,0,0,0,0,0
06/26/2014,Region 3,Willimantic Office,BLACK,N,07/01/2004,24,15,0,4,1,1,0,0,3,0,0,0,0,0
06/26/2014,Region 3,Willimantic Office,BLACK,Y,07/01/2004,3,0,1,0,0,0,0,0,2,0,0,0,0,0
06/26/2014,Region 3,Willimantic Office,HISPANIC,N,07/01/2004,95,52,23,1,5,3,1,1,5,0,1,1,1,1
06/26/2014,Region 3,Willimantic Office,HISPANIC,Y,07/01/2004,6,1,0,0,0,0,0,0,5,0,0,0,0,0
06/26/2014,Region 3,Willimantic Office,OTHER,N,07/01/2004,32,17,5,6,1,1,0,1,1,0,0,0,0,0
06/26/2014,Region 3,Willimantic Office,OTHER,Y,07/01/2004,6,0,2,0,2,0,0,0,2,0,0,0,0,0
06/26/2014,Region 3,Willimantic Office,WHITE,N,07/01/2004,213,127,30,17,8,5,4,5,12,0,2,0,1,2
06/26/2014,Region 3,Willimantic Office,WHITE,Y,07/01/2004,38,6,3,0,6,0,0,1,22,0,0,0,0,0
06/26/2014,Region 4,Hartford Office,BLACK,N,07/01/2004,407,153,108,20,34,13,7,24,20,2,7,0,2,17
06/26/2014,Region 4,Hartford Office,BLACK,Y,07/01/2004,74,11,14,0,9,0,0,0,40,0,0,0,0,0
06/26/2014,Region 4,Hartford Office,HISPANIC,N,07/01/2004,396,178,94,10,43,13,6,14,20,0,9,0,4,5
06/26/2014,Region 4,Hartford Office,HISPANIC,Y,07/01/2004,53,13,4,1,6,0,0,1,27,0,0,0,1,0
06/26/2014,Region 4,Hartford Office,OTHER,N,07/01/2004,25,10,9,0,0,1,0,0,4,0,1,0,0,0
06/26/2014,Region 4,Hartford Office,OTHER,Y,07/01/2004,4,1,1,0,0,0,0,0,2,0,0,0,0,0
06/26/2014,Region 4,Hartford Office,WHITE,N,07/01/2004,58,32,8,3,6,1,0,4,2,0,1,0,0,1
06/26/2014,Region 4,Hartford Office,WHITE,Y,07/01/2004,14,4,1,0,1,0,0,0,8,0,0,0,0,0
06/26/2014,Region 4,Manchester Office,BLACK,N,07/01/2004,113,40,29,6,5,7,2,10,9,2,0,0,0,3
06/26/2014,Region 4,Manchester Office,BLACK,Y,07/01/2004,10,1,2,0,1,0,0,0,6,0,0,0,0,0
06/26/2014,Region 4,Manchester Office,HISPANIC,N,07/01/2004,91,34,27,4,3,6,1,3,9,1,2,0,0,1
06/26/2014,Region 4,Manchester Office,HISPANIC,Y,07/01/2004,19,3,1,0,2,0,0,0,13,0,0,0,0,0
06/26/2014,Region 4,Manchester Office,OTHER,N,07/01/2004,25,10,10,1,0,1,0,0,3,0,0,0,0,0
06/26/2014,Region 4,Manchester Office,OTHER,Y,07/01/2004,7,1,1,0,1,0,0,0,4,0,0,0,0,0
06/26/2014,Region 4,Manchester Office,WHITE,N,07/01/2004,269,117,63,15,10,9,2,12,33,2,1,2,0,3
06/26/2014,Region 4,Manchester Office,WHITE,Y,07/01/2004,50,2,4,1,5,0,0,1,37,0,0,0,0,0
06/26/2014,Region 5,Danbury Office,BLACK,N,07/01/2004,18,1,6,2,3,0,0,2,4,0,0,0,0,0
06/26/2014,Region 5,Danbury Office,BLACK,Y,07/01/2004,6,2,2,0,1,0,0,0,1,0,0,0,0,0
