Data_as_of,DCF_Region,DCF_Office,Demographic,Out_of_State,Month_in_Care,TOTAL_CIP,FOSTER_CARE,RELATIVE_CARE,SPECIAL_STUDY,THERAPEUTIC_FOSTER_CARE,PDC_SAFE_HOME,SHELTER,GROUP_HOME,RESIDENTIAL,DCF_HIGHMEADOWS,DCF_SOLNIT,DCF_CJTS,HOSPITAL,INDEPENDENT_LIVING
06/26/2014,Region 5,Danbury Office,HISPANIC,N,07/01/2004,29,11,6,1,1,4,1,2,3,0,0,0,0,0
06/26/2014,Region 5,Danbury Office,HISPANIC,Y,07/01/2004,8,2,1,0,4,0,0,0,1,0,0,0,0,0
06/26/2014,Region 5,Danbury Office,OTHER,Y,07/01/2004,2,0,0,0,1,0,0,0,1,0,0,0,0,0
06/26/2014,Region 5,Danbury Office,OTHER,N,07/01/2004,9,5,1,0,1,0,0,1,1,0,0,0,0,0
06/26/2014,Region 5,Danbury Office,WHITE,N,07/01/2004,74,22,18,3,2,3,1,6,14,1,2,0,1,1
06/26/2014,Region 5,Danbury Office,WHITE,Y,07/01/2004,16,0,4,0,2,0,0,1,9,0,0,0,0,0
06/26/2014,Region 5,Torrington Office,BLACK,N,07/01/2004,8,2,2,0,2,0,0,1,1,0,0,0,0,0
06/26/2014,Region 5,Torrington Office,BLACK,Y,07/01/2004,3,0,0,0,1,0,0,0,2,0,0,0,0,0
06/26/2014,Region 5,Torrington Office,HISPANIC,N,07/01/2004,16,9,2,0,0,0,0,2,3,0,0,0,0,0
06/26/2014,Region 5,Torrington Office,HISPANIC,Y,07/01/2004,2,0,0,0,0,0,0,0,2,0,0,0,0,0
06/26/2014,Region 5,Torrington Office,OTHER,N,07/01/2004,9,5,1,0,0,1,0,1,1,0,0,0,0,0
06/26/2014,Region 5,Torrington Office,OTHER,Y,07/01/2004,3,2,0,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Region 5,Torrington Office,WHITE,N,07/01/2004,109,52,21,5,5,3,1,2,15,1,3,0,1,0
06/26/2014,Region 5,Torrington Office,WHITE,Y,07/01/2004,29,4,1,0,7,0,0,0,17,0,0,0,0,0
06/26/2014,Region 5,Waterbury Office,BLACK,N,07/01/2004,177,85,42,8,13,2,0,3,14,0,2,1,0,7
06/26/2014,Region 5,Waterbury Office,BLACK,Y,07/01/2004,29,5,3,0,5,0,0,0,16,0,0,0,0,0
06/26/2014,Region 5,Waterbury Office,HISPANIC,N,07/01/2004,199,98,40,8,16,8,2,4,17,1,0,0,0,5
06/26/2014,Region 5,Waterbury Office,HISPANIC,Y,07/01/2004,30,1,11,0,5,0,0,0,13,0,0,0,0,0
06/26/2014,Region 5,Waterbury Office,OTHER,N,07/01/2004,30,13,4,5,4,2,0,0,0,1,0,0,0,1
06/26/2014,Region 5,Waterbury Office,OTHER,Y,07/01/2004,7,2,1,0,3,0,0,0,1,0,0,0,0,0
06/26/2014,Region 5,Waterbury Office,WHITE,N,07/01/2004,140,64,27,3,12,6,2,4,12,3,2,0,0,5
06/26/2014,Region 5,Waterbury Office,WHITE,Y,07/01/2004,33,3,4,0,8,0,0,0,17,0,0,0,1,0
06/26/2014,Region 6,Meriden Office,BLACK,N,07/01/2004,36,7,10,0,10,3,1,1,2,0,0,0,0,2
06/26/2014,Region 6,Meriden Office,BLACK,Y,07/01/2004,2,1,0,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Region 6,Meriden Office,HISPANIC,N,07/01/2004,63,26,12,1,10,0,0,2,8,1,1,0,0,2
06/26/2014,Region 6,Meriden Office,HISPANIC,Y,07/01/2004,13,2,5,0,3,0,0,0,3,0,0,0,0,0
06/26/2014,Region 6,Meriden Office,OTHER,N,07/01/2004,15,8,5,0,2,0,0,0,0,0,0,0,0,0
06/26/2014,Region 6,Meriden Office,OTHER,Y,07/01/2004,3,2,1,0,0,0,0,0,0,0,0,0,0,0
06/26/2014,Region 6,Meriden Office,WHITE,N,07/01/2004,76,24,20,2,8,0,2,5,10,0,2,0,0,3
06/26/2014,Region 6,Meriden Office,WHITE,Y,07/01/2004,15,1,1,0,1,0,0,0,12,0,0,0,0,0
06/26/2014,Region 6,New Britain Office,BLACK,N,07/01/2004,82,13,25,4,10,5,3,5,5,2,4,0,1,5
06/26/2014,Region 6,New Britain Office,BLACK,Y,07/01/2004,11,1,4,0,0,0,0,0,6,0,0,0,0,0
06/26/2014,Region 6,New Britain Office,HISPANIC,N,07/01/2004,192,75,40,8,18,7,5,12,17,0,4,0,1,5
06/26/2014,Region 6,New Britain Office,HISPANIC,Y,07/01/2004,32,4,5,0,3,0,0,1,19,0,0,0,0,0
06/26/2014,Region 6,New Britain Office,OTHER,N,07/01/2004,26,17,5,0,0,1,1,0,1,0,0,0,0,1
06/26/2014,Region 6,New Britain Office,OTHER,Y,07/01/2004,1,0,0,0,1,0,0,0,0,0,0,0,0,0
06/26/2014,Region 6,New Britain Office,WHITE,N,07/01/2004,259,86,76,11,27,8,4,13,26,1,1,0,0,6
06/26/2014,Region 6,New Britain Office,WHITE,Y,07/01/2004,34,5,0,0,3,0,0,0,26,0,0,0,0,0
06/26/2014,Other,Aftercare,BLACK,N,07/01/2005,1,0,0,0,0,0,0,0,0,0,0,1,0,0
06/26/2014,Other,Aftercare,HISPANIC,N,07/01/2005,2,0,1,0,0,0,0,0,0,0,0,1,0,0
06/26/2014,Other,Aftercare,WHITE,Y,07/01/2005,1,0,0,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Other,Aftercare,WHITE,N,07/01/2005,1,0,0,0,0,0,0,0,0,0,0,1,0,0
06/26/2014,Other,Gen'l Administration,HISPANIC,N,07/01/2005,2,0,0,0,0,0,0,0,1,0,0,1,0,0
06/26/2014,Other,Gen'l Administration,WHITE,N,07/01/2005,3,1,0,0,0,0,0,1,1,0,0,0,0,0
06/26/2014,Other,Hotline,BLACK,N,07/01/2005,1,0,0,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Other,Unassigned_Office,BLACK,N,07/01/2005,65,2,0,0,0,0,0,2,34,0,1,26,0,0
06/26/2014,Other,Unassigned_Office,BLACK,Y,07/01/2005,3,0,0,0,0,0,0,0,3,0,0,0,0,0
06/26/2014,Other,Unassigned_Office,HISPANIC,N,07/01/2005,45,2,0,0,0,1,0,1,27,0,0,14,0,0
06/26/2014,Other,Unassigned_Office,HISPANIC,Y,07/01/2005,4,0,0,0,0,0,0,0,4,0,0,0,0,0
06/26/2014,Other,Unassigned_Office,OTHER,N,07/01/2005,15,0,0,0,0,0,0,0,12,0,0,3,0,0
06/26/2014,Other,Unassigned_Office,OTHER,Y,07/01/2005,1,0,0,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Other,Unassigned_Office,WHITE,N,07/01/2005,52,1,5,0,0,0,0,3,39,0,0,4,0,0
06/26/2014,Other,Unassigned_Office,WHITE,Y,07/01/2005,6,0,0,0,0,0,0,0,6,0,0,0,0,0
06/26/2014,Region 1,Bridgeport Office,BLACK,N,07/01/2005,248,88,59,3,40,5,4,13,21,2,2,4,2,5
06/26/2014,Region 1,Bridgeport Office,BLACK,Y,07/01/2005,25,2,5,0,1,0,0,1,15,0,0,0,1,0
06/26/2014,Region 1,Bridgeport Office,HISPANIC,N,07/01/2005,177,82,34,4,17,2,2,9,17,3,1,1,1,4
06/26/2014,Region 1,Bridgeport Office,HISPANIC,Y,07/01/2005,11,0,4,0,0,0,0,0,7,0,0,0,0,0
06/26/2014,Region 1,Bridgeport Office,OTHER,N,07/01/2005,26,6,3,3,4,1,0,5,4,0,0,0,0,0
06/26/2014,Region 1,Bridgeport Office,OTHER,Y,07/01/2005,1,0,0,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Region 1,Bridgeport Office,WHITE,Y,07/01/2005,4,1,0,0,0,0,0,1,2,0,0,0,0,0
06/26/2014,Region 1,Bridgeport Office,WHITE,N,07/01/2005,87,33,16,2,9,0,3,7,15,0,2,0,0,0
06/26/2014,Region 1,Norwalk Office,BLACK,Y,07/01/2005,5,2,1,0,0,0,0,0,2,0,0,0,0,0
06/26/2014,Region 1,Norwalk Office,BLACK,N,07/01/2005,41,10,18,0,6,0,0,0,6,0,0,0,0,1
06/26/2014,Region 1,Norwalk Office,HISPANIC,Y,07/01/2005,2,2,0,0,0,0,0,0,0,0,0,0,0,0
06/26/2014,Region 1,Norwalk Office,HISPANIC,N,07/01/2005,20,5,6,3,1,0,0,1,2,0,0,1,1,0
06/26/2014,Region 1,Norwalk Office,OTHER,Y,07/01/2005,2,1,0,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Region 1,Norwalk Office,OTHER,N,07/01/2005,4,0,0,1,1,2,0,0,0,0,0,0,0,0
06/26/2014,Region 1,Norwalk Office,WHITE,Y,07/01/2005,4,1,1,0,0,0,0,0,2,0,0,0,0,0
06/26/2014,Region 1,Norwalk Office,WHITE,N,07/01/2005,23,5,3,4,4,0,2,2,2,0,0,0,0,1
06/26/2014,Region 1,Stamford Office,BLACK,Y,07/01/2005,2,1,0,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Region 1,Stamford Office,BLACK,N,07/01/2005,30,6,5,1,5,4,0,4,3,0,0,1,0,1
06/26/2014,Region 1,Stamford Office,HISPANIC,Y,07/01/2005,1,0,0,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Region 1,Stamford Office,HISPANIC,N,07/01/2005,26,14,4,1,0,0,1,3,1,0,1,0,0,1
06/26/2014,Region 1,Stamford Office,OTHER,N,07/01/2005,5,1,1,0,1,0,1,0,1,0,0,0,0,0
06/26/2014,Region 1,Stamford Office,WHITE,N,07/01/2005,15,0,3,1,1,2,3,1,3,0,1,0,0,0
06/26/2014,Region 1,Stamford Office,WHITE,Y,07/01/2005,3,0,0,0,0,0,0,0,3,0,0,0,0,0
06/26/2014,Region 2,Milford Office,BLACK,Y,07/01/2005,17,1,1,0,0,0,0,0,15,0,0,0,0,0
06/26/2014,Region 2,Milford Office,BLACK,N,07/01/2005,124,23,30,3,37,4,2,2,19,1,1,1,0,1
06/26/2014,Region 2,Milford Office,HISPANIC,Y,07/01/2005,8,2,0,0,1,0,0,0,5,0,0,0,0,0
06/26/2014,Region 2,Milford Office,HISPANIC,N,07/01/2005,55,13,9,2,12,1,3,0,13,0,0,1,0,1
06/26/2014,Region 2,Milford Office,OTHER,Y,07/01/2005,1,0,0,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Region 2,Milford Office,OTHER,N,07/01/2005,19,9,4,0,4,0,0,0,2,0,0,0,0,0
06/26/2014,Region 2,Milford Office,WHITE,Y,07/01/2005,12,0,0,0,0,0,0,0,12,0,0,0,0,0
06/26/2014,Region 2,Milford Office,WHITE,N,07/01/2005,154,47,31,4,19,6,2,14,28,1,2,0,0,0
06/26/2014,Region 2,New Haven Office,BLACK,Y,07/01/2005,23,5,5,0,0,0,0,0,13,0,0,0,0,0
06/26/2014,Region 2,New Haven Office,BLACK,N,07/01/2005,340,80,60,11,95,13,1,13,36,7,4,4,3,13
06/26/2014,Region 2,New Haven Office,HISPANIC,Y,07/01/2005,14,1,2,1,2,0,0,0,8,0,0,0,0,0
06/26/2014,Region 2,New Haven Office,HISPANIC,N,07/01/2005,101,32,12,1,29,4,1,1,12,0,4,2,0,3
06/26/2014,Region 2,New Haven Office,OTHER,Y,07/01/2005,1,0,1,0,0,0,0,0,0,0,0,0,0,0
06/26/2014,Region 2,New Haven Office,OTHER,N,07/01/2005,26,5,4,0,10,2,0,0,5,0,0,0,0,0
06/26/2014,Region 2,New Haven Office,WHITE,Y,07/01/2005,8,0,1,0,0,0,0,1,6,0,0,0,0,0
06/26/2014,Region 2,New Haven Office,WHITE,N,07/01/2005,65,16,6,4,18,0,1,3,12,1,1,1,0,2
06/26/2014,Region 3,Middletown Office,BLACK,Y,07/01/2005,2,0,0,0,0,0,0,1,1,0,0,0,0,0
06/26/2014,Region 3,Middletown Office,BLACK,N,07/01/2005,30,4,14,1,1,0,1,4,2,0,0,2,0,1
06/26/2014,Region 3,Middletown Office,HISPANIC,N,07/01/2005,24,2,2,3,7,0,0,1,8,1,0,0,0,0
06/26/2014,Region 3,Middletown Office,OTHER,N,07/01/2005,8,6,0,0,1,0,0,0,1,0,0,0,0,0
06/26/2014,Region 3,Middletown Office,WHITE,N,07/01/2005,94,21,23,3,13,5,0,8,13,0,2,0,0,6
06/26/2014,Region 3,Middletown Office,WHITE,Y,07/01/2005,10,0,0,0,0,0,0,0,10,0,0,0,0,0
06/26/2014,Region 3,Norwich Office,BLACK,N,07/01/2005,87,43,15,1,9,4,2,5,4,0,1,1,1,1
06/26/2014,Region 3,Norwich Office,BLACK,Y,07/01/2005,9,3,3,0,0,0,0,0,3,0,0,0,0,0
06/26/2014,Region 3,Norwich Office,HISPANIC,N,07/01/2005,82,38,13,1,8,5,3,4,9,0,0,0,0,1
06/26/2014,Region 3,Norwich Office,HISPANIC,Y,07/01/2005,5,4,0,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Region 3,Norwich Office,OTHER,N,07/01/2005,58,30,9,2,6,4,1,1,2,0,0,0,1,2
06/26/2014,Region 3,Norwich Office,OTHER,Y,07/01/2005,8,2,3,0,0,0,0,0,3,0,0,0,0,0
06/26/2014,Region 3,Norwich Office,WHITE,N,07/01/2005,268,116,50,17,28,2,6,13,22,0,5,1,4,4
06/26/2014,Region 3,Norwich Office,WHITE,Y,07/01/2005,24,4,4,0,0,0,0,1,15,0,0,0,0,0
06/26/2014,Region 3,Willimantic Office,BLACK,N,07/01/2005,20,14,0,4,1,0,0,0,1,0,0,0,0,0
06/26/2014,Region 3,Willimantic Office,BLACK,Y,07/01/2005,3,0,2,0,0,0,0,0,1,0,0,0,0,0
06/26/2014,Region 3,Willimantic Office,HISPANIC,Y,07/01/2005,4,1,0,0,0,0,0,0,3,0,0,0,0,0
06/26/2014,Region 3,Willimantic Office,HISPANIC,N,07/01/2005,63,35,11,1,5,2,1,2,6,0,0,0,0,0
06/26/2014,Region 3,Willimantic Office,OTHER,Y,07/01/2005,5,0,3,0,0,0,0,0,2,0,0,0,0,0
06/26/2014,Region 3,Willimantic Office,OTHER,N,07/01/2005,31,13,3,6,7,0,0,1,1,0,0,0,0,0
06/26/2014,Region 3,Willimantic Office,WHITE,Y,07/01/2005,27,8,4,0,0,0,0,2,13,0,0,0,0,0
06/26/2014,Region 3,Willimantic Office,WHITE,N,07/01/2005,204,105,29,12,16,13,5,3,17,0,3,1,0,0
06/26/2014,Region 4,Hartford Office,BLACK,Y,07/01/2005,53,12,9,0,1,0,0,0,31,0,0,0,0,0
